,pop_est,continent,name
0,920938,Oceania,Fiji
1,53950935,Africa,Tanzania
2,603253,Africa,Western Sahara
3,35623680,North America,Canada
4,326625791,North America,USA
5,18556698,Asia,Kazakhstan
6,29748859,Asia,Uzbekistan
7,6909701,Oceania,Papua New Guinea
8,260580739,Asia,Indonesia
9,44293293,South America,Argentina
10,17789267,South America,Chile
11,83301151,Africa,Congo
12,7531386,Africa,Somalia
13,47615739,Africa,Kenya
14,37345935,Africa,Sudan
15,12075985,Africa,Chad
16,10646714,North America,Haiti
17,10734247,North America,Dominica
18,142257519,Europe,Russia
19,329988,North America,Bahamas
20,2931,South America,Falkland Islands
21,5320045,Europe,Norway
22,57713,North America,Greenland
23,140,Seven seas (open ocean),Fr. S. Antarctic Lands
24,1291358,Asia,Timor-Leste
25,54841552,Africa,South Africa
26,1958042,Africa,Lesotho
27,124574795,North America,Mexico
28,3360148,South America,Uruguay
29,207353391,South America,Brazil
30,11138234,South America,Bolivia
31,31036656,South America,Peru
32,47698524,South America,Colombia
33,3753142,North America,Panama
34,4930258,North America,Costa Rica
35,6025951,North America,Nicaragua
36,9038741,North America,Honduras
37,6172011,North America,El Salvador
38,15460732,North America,Guatemala
39,360346,North America,Belize
40,31304016,South America,Venezuela
41,737718,South America,Guyana
42,591919,South America,Suriname
43,67106161,Europe,France
44,16290913,South America,Ecuador
45,3351827,North America,Puerto Rico
46,2990561,North America,Jamaica
47,11147407,North America,Cuba
48,13805084,Africa,Zimbabwe
49,2214858,Africa,Botswana
50,2484780,Africa,Namibia
51,14668522,Africa,Senegal
52,17885245,Africa,Mali
53,3758571,Africa,Mauritania
54,11038805,Africa,Benin
55,19245344,Africa,Niger
56,190632261,Africa,Nigeria
57,24994885,Africa,Cameroon
58,7965055,Africa,Togo
59,27499924,Africa,Ghana
60,24184810,Africa,C̫te d'Ivoire
61,12413867,Africa,Guinea
62,1792338,Africa,Guinea-Bissau
63,4689021,Africa,Liberia
64,6163195,Africa,Sierra Leone
65,20107509,Africa,Burkina Faso
66,5625118,Africa,CAR
67,4954674,Africa,Congo
68,1772255,Africa,Gabon
69,778358,Africa,Equatorial Guinea
70,15972000,Africa,Zambia
71,19196246,Africa,Malawi
72,26573706,Africa,Mozambique
73,1467152,Africa,eSwatini
74,29310273,Africa,Angola
75,11466756,Africa,Burundi
76,8299706,Asia,Israel
77,6229794,Asia,Lebanon
78,25054161,Africa,Madagascar
79,4543126,Asia,Palestine
80,2051363,Africa,Gambia
81,11403800,Africa,Tunisia
82,40969443,Africa,Algeria
83,10248069,Asia,Jordan
84,6072475,Asia,UAE
85,2314307,Asia,Qatar
86,2875422,Asia,Kuwait
87,39192111,Asia,Iraq
88,3424386,Asia,Oman
89,282814,Oceania,Vanuatu
90,16204486,Asia,Cambodia
91,68414135,Asia,Thailand
92,7126706,Asia,Laos
93,55123814,Asia,Myanmar
94,96160163,Asia,Vietnam
95,25248140,Asia,North Korea
96,51181299,Asia,S.Korea
97,3068243,Asia,Mongolia
98,1281935911,Asia,India
99,157826578,Asia,Bangladesh
100,758288,Asia,Bhutan
101,29384297,Asia,Nepal
102,204924861,Asia,Pakistan
103,34124811,Asia,Afghanistan
104,8468555,Asia,Tajikistan
105,5789122,Asia,Kyrgyzstan
106,5351277,Asia,Turkmenistan
107,82021564,Asia,Iran
108,18028549,Asia,Syria
109,3045191,Asia,Armenia
110,9960487,Europe,Sweden
111,9549747,Europe,Belarus
112,44033874,Europe,Ukraine
113,38476269,Europe,Poland
114,8754413,Europe,Austria
115,9850845,Europe,Hungary
116,3474121,Europe,Moldova
117,21529967,Europe,Romania
118,2823859,Europe,Lithuania
119,1944643,Europe,Latvia
120,1251581,Europe,Estonia
121,80594017,Europe,Germany
122,7101510,Europe,Bulgaria
123,10768477,Europe,Greece
124,80845215,Asia,Turkey
125,3047987,Europe,Albania
126,4292095,Europe,Croatia
127,8236303,Europe,Switzerland
128,594130,Europe,Luxembourg
129,11491346,Europe,Belgium
130,17084719,Europe,Netherlands
131,10839514,Europe,Portugal
132,48958159,Europe,Spain
133,5011102,Europe,Ireland
134,279070,Oceania,New Caledonia
135,647581,Oceania,Solomon Islands
136,4510327,Oceania,New Zealand
137,23232413,Oceania,Australia
138,22409381,Asia,Sri Lanka
139,1379302771,Asia,China
140,23508428,Asia,Taiwan
141,62137802,Europe,Italy
142,5605948,Europe,Denmark
143,64769452,Europe,UK
144,339747,Europe,Iceland
145,9961396,Asia,Azerbaijan
146,4926330,Asia,Georgia
147,104256076,Asia,Philippines
148,31381992,Asia,Malaysia
149,443593,Asia,Brunei
150,1972126,Europe,Slovenia
151,5491218,Europe,Finland
152,5445829,Europe,Slovakia
153,10674723,Europe,Czechia
154,5918919,Africa,Eritrea
155,126451398,Asia,Japan
156,6943739,South America,Paraguay
157,28036829,Asia,Yemen
158,28571770,Asia,Saudi Arabia
159,4050,Antarctica,Antarctica
160,265100,Asia,N. Cyprus
161,1221549,Asia,Cyprus
162,33986655,Africa,Morocco
163,97041072,Africa,Egypt
164,6653210,Africa,Libya
165,105350020,Africa,Ethiopia
166,865267,Africa,Djibouti
167,3500000,Africa,Somaliland
168,39570125,Africa,Uganda
169,11901484,Africa,Rwanda
170,3856181,Europe,Bosnia and Herz.
171,2103721,Europe,Macedonia
172,7111024,Europe,Serbia
173,642550,Europe,Montenegro
174,1895250,Europe,Kosovo
175,1218208,North America,Trinidad and Tobago
176,13026129,Africa,Sudan
